DATE,Population,ratio of new houses for sale to new houses sold,Mortgage Rate Monthly,target,Housing unit started,Personal Saving Rate,Unemployment Rate,GDP,Personal Income,boxcox_personal_saving_rate,boxcox_Unemployment Rate
2019-05-01,330240.0,6.7,4.072,208.136,1307.0,7.3,3.7,21384.775,18277.0,1.6960539802354708,0.785795219444214
2019-06-01,330393.0,5.2,3.8025,208.649,1228.0,7.1,3.6,21384.775,18310.5,1.6759646426693218,0.7767835887731465
2019-07-01,330553.0,5.9,3.765,209.287,1245.0,6.8,3.7,21694.282,18328.6,1.6445614126627688,0.785795219444214
2019-08-01,330729.0,5.4,3.616,210.093,1367.0,7.0,3.7,21694.282,18423.6,1.6656713514519443,0.785795219444214
2019-09-01,330904.0,5.4,3.605,210.904,1300.0,7.2,3.5,21694.282,18474.4,1.686090521606953,0.7672942770235488
2019-10-01,331066.0,5.3,3.688,211.791,1332.0,7.3,3.6,21902.39,18549.5,1.6960539802354708,0.7767835887731465
2019-11-01,331213.0,5.4,3.695,212.787,1346.0,7.1,3.6,21902.39,18630.7,1.6759646426693218,0.7767835887731465
2019-12-01,331345.0,5.6,3.72,213.933,1551.0,6.4,3.6,21902.39,18583.8,1.6000858858154126,0.7767835887731465
2020-01-01,331443.0,5.7,3.624,214.99400000000003,1572.0,7.2,3.5,21706.513,18821.5,1.686090521606953,0.7672942770235488
2020-02-01,331525.0,5.6,3.465,215.864,1565.0,7.7,3.5,21706.513,18925.6,1.7343761834196014,0.7672942770235488
2020-03-01,331634.0,6.5,3.45,216.402,1267.0,12.5,4.4,21706.513,18577.4,2.0674853352891995,0.8381262279782341
2020-04-01,331684.0,6.9,3.306,216.812,925.0,32.0,14.7,19913.143,20750.9,2.6428505144288774,1.0485126349243088
2020-05-01,331685.0,5.4,3.2325,216.98,1054.0,22.7,13.2,19913.143,19877.2,2.442896498517791,1.0373051083368214
2020-06-01,331728.0,3.8,3.1625,217.616,1266.0,18.4,11.0,19913.143,19920.9,2.314926068953982,1.0157881093207781
2020-07-01,331795.0,3.4,3.016,219.378,1529.0,17.9,10.2,21647.64,20191.5,2.2978089522230047,1.0058419394643046
2020-08-01,331870.0,3.3,2.935,222.391,1377.0,14.0,8.4,21647.64,19594.2,2.1416508062081077,0.9770984117217952
2020-09-01,331950.0,3.4,2.89,225.837,1463.0,13.2,7.9,21647.64,19744.9,2.103316202842101,0.9669699233605172
2020-10-01,332025.0,3.3,2.834,229.753,1537.0,12.8,6.9,22024.502,19758.5,2.083120484058752,0.9426528997066725
2020-11-01,332063.0,4.0,2.765,233.208,1545.0,12.1,6.7,22024.502,19610.4,2.0459451470450443,0.9369836065601882
2020-12-01,332047.0,4.1,2.684,236.486,1663.0,12.0,6.7,22024.502,19775.2,2.0404303852458616,0.9369836065601882
2021-01-01,331992.0,4.0,2.735,239.56,1602.0,19.3,6.3,22600.185,21760.9,2.344413660361823,0.9246449736714301
2021-02-01,331968.0,4.9,2.81,242.36900000000003,1422.0,12.8,6.2,22600.185,20254.0,2.083120484058752,0.9213296093219205
2021-03-01,332007.0,4.4,3.0825,245.465,1700.0,26.1,6.1,22600.185,24471.8,2.52553417412585,0.9179133269227615
2021-04-01,332073.0,4.7,3.06,249.07,1484.0,12.3,6.1,23292.362,21304.2,2.056817183901099,0.9179133269227615
2021-05-01,332144.0,5.6,2.9625,253.407,1600.0,9.9,5.8,23292.362,20899.7,1.9104656197037582,0.9070093457089069
2021-06-01,332231.0,5.8,2.975,258.358,1661.0,8.7,5.9,23292.362,20934.3,1.8208380268393825,0.9107584819677461
2021-07-01,332358.0,5.7,2.868,262.82,1593.0,9.4,5.4,23828.973,21156.5,1.8747454345679684,0.8907271050515357
2021-08-01,332489.0,6.5,2.8425,266.845,1576.0,8.7,5.2,23828.973,21207.3,1.8208380268393825,0.8817159297634898
2021-09-01,332594.0,6.0,2.9,270.377,1560.0,7.2,4.8,23828.973,21051.2,1.686090521606953,0.8616096123682484
2021-10-01,332692.0,6.8,3.0675,273.725,1572.0,6.6,4.5,24654.603,21201.4,1.622715961503198,0.8443605047733673
2021-11-01,332790.0,6.0,3.0675,277.21,1712.0,6.2,4.2,24654.603,21297.7,1.5766171258223909,0.8248321529863719
2021-12-01,332876.0,5.6,3.098,281.342,1787.0,6.1,3.9,24654.603,21352.9,1.5645498282552457,0.8025258941041051
2022-01-01,332918.0,5.8,3.445,285.92400000000004,1669.0,4.1,4.0,25029.116,21294.8,1.2594667996977635,0.8103066773965022
2022-02-01,332959.0,6.2,3.7625,291.153,1771.0,4.1,3.8,25029.116,21426.2,1.2594667996977635,0.7943651755089536
2022-03-01,333056.0,7.0,4.172,296.445,1713.0,3.4,3.6,25029.116,21510.5,1.1086636648128732,0.7767835887731465
2022-04-01,333184.0,8.5,4.9825,300.573,1803.0,3.1,3.6,25544.273,21581.3,1.0325294915138234,0.7767835887731465
2022-05-01,333317.0,8.3,5.23,303.762,1543.0,3.1,3.6,25544.273,21657.1,1.0325294915138234,0.7767835887731465
2022-06-01,333460.0,9.5,5.522,304.724,1561.0,2.7,3.6,25544.273,21740.7,0.9164890871634398,0.7767835887731465
2022-07-01,333624.0,10.1,5.4125,303.879,1371.0,3.5,3.5,25994.639,21910.5,1.1323181589999003,0.7672942770235488
2022-08-01,333799.0,8.7,5.2225,301.473,1505.0,3.2,3.7,25994.639,22024.3,1.0588271351202707,0.785795219444214
2022-09-01,333976.0,9.7,6.112,299.353,1463.0,3.0,3.5,25994.639,22121.5,1.0052251907592593,0.7672942770235488
2022-10-01,334141.0,9.7,6.9,298.873,1432.0,3.0,3.7,26408.405,22242.2,1.0052251907592593,0.785795219444214
2022-11-01,334287.0,9.4,6.805,298.269,1427.0,3.3,3.6,26408.405,22267.7,1.0841850008703693,0.7767835887731465
2022-12-01,334420.0,8.5,6.364,297.413,1357.0,3.4,3.5,26408.405,22312.3,1.1086636648128732,0.7672942770235488
2023-01-01,334533.0,8.1,6.2725,297.03,1340.0,4.4,3.4,26813.601,22525.3,1.3151575723136122,0.7572871993217236
2023-02-01,334637.0,8.4,6.2575,297.53700000000003,1436.0,4.7,3.6,26813.601,22648.4,1.36659366937049,0.7767835887731465
2023-03-01,334753.0,8.1,6.544,298.637,1380.0,5.2,3.5,26813.601,22757.9,1.4443582729553732,0.7672942770235488
2023-04-01,334880.0,7.6,6.3425,300.213,1348.0,5.2,3.4,27063.012,22806.1,1.4443582729553732,0.7572871993217236
2023-05-01,335013.0,7.2,6.425,302.566,1583.0,5.3,3.7,27063.012,22876.6,1.4588664518770966,0.785795219444214
2023-06-01,335163.0,7.5,6.714,304.593,1418.0,4.8,3.6,27063.012,22921.4,1.3828948469397533,0.7767835887731465
2023-07-01,335329.0,7.1,6.84,306.767,1451.0,4.2,3.5,27644.463,22984.0,1.2785433515098796,0.7672942770235488
