DATE,GDP
2022-03-01,25029.116
2022-04-01,25544.273
2022-05-01,25544.273
2022-06-01,25544.273
2022-07-01,25994.639
2022-08-01,25994.639
2022-09-01,25994.639
2022-10-01,26408.405
2022-11-01,26408.405
2022-12-01,26408.405
2023-01-01,26813.601
2023-02-01,26813.601
2023-03-01,26813.601
2023-04-01,27063.012
2023-05-01,27063.012
2023-06-01,27063.012
2023-07-01,27644.463
